,city_state,pop
623,"Malden, MA","60,470"
624,"Commerce City, CO","60,336"
625,"Owensboro, KY","60,131"
626,"Bristol, CT","59,947"
627,"West Allis, WI","59,890"
628,"Taylorsville, UT","59,805"
629,"Utica, NY","59,750"
630,"Monterey Park, CA","59,669"
631,"Bonita Springs, FL","59,637"
632,"Porterville, CA","59,599"
633,"Greenwood, IN","59,458"
634,"Bartlett, TN","59,440"
635,"Bradenton, FL","59,439"
636,"Vineland, NJ","59,439"
637,"Pontiac, MI","59,438"
638,"Meriden, CT","59,395"
639,"Gardena, CA","59,329"
640,"Apex town, NC","59,300"
641,"Royal Oak, MI","59,277"
642,"Cupertino, CA","59,276"
643,"Lancaster, PA","59,265"
644,"La Mesa, CA","59,249"
645,"Gilroy, CA","59,032"
646,"St. Clair Shores, MI","58,984"
647,"Des Plaines, IL","58,899"
648,"Springfield, OH","58,877"
649,"Corvallis, OR","58,856"
650,"Margate, FL","58,796"
651,"Bowie, MD","58,643"
652,"Casa Grande, AZ","58,632"
653,"Caldwell, ID","58,481"
654,"San Rafael, CA","58,440"
655,"Great Falls, MT","58,434"
656,"Sarasota, FL","58,285"
657,"Richland, WA","58,225"
658,"St. Peters, MO","58,212"
659,"Hendersonville, TN","58,113"
660,"White Plains, NY","58,109"
661,"Huntersville town, NC","58,098"
662,"Santee, CA","58,081"
663,"Kokomo, IN","58,020"
664,"Arcadia, CA","57,939"
665,"Casper, WY","57,931"
666,"Dubuque, IA","57,882"
667,"Orland Park village, IL","57,857"
668,"Weymouth Town, MA","57,746"
669,"Parker town, CO","57,706"
670,"Palm Beach Gardens, FL","57,704"
671,"Hanford, CA","57,703"
672,"Huntington Park, CA","57,509"
673,"Taunton, MA","57,464"
674,"Midwest City, OK","57,407"
675,"Medford, MA","57,341"
676,"Euless, TX","57,197"
677,"Shoreline, WA","57,027"
678,"Smyrna, GA","56,666"
679,"Pocatello, ID","56,637"
680,"Valdosta, GA","56,457"
681,"Carson City, NV","55,916"
682,"Lake Havasu City, AZ","55,865"
683,"Grand Forks, ND","55,839"
684,"Blue Springs, MO","55,829"
685,"Southaven, MS","55,780"
686,"Tinley Park village, IL","55,773"
687,"Diamond Bar, CA","55,720"
688,"New Brunswick, NJ","55,676"
689,"Lenexa, KS","55,625"
690,"Brookhaven, GA","55,554"
691,"Novato, CA","55,516"
692,"Tigard, OR","55,514"
693,"Highland, CA","55,417"
694,"Fountain Valley, CA","55,357"
695,"Dearborn Heights, MI","55,353"
696,"Albany, OR","55,338"
697,"Grapevine, TX","55,281"
698,"Apple Valley, MN","55,135"
699,"Chicopee, MA","55,126"
700,"Hempstead village, NY","55,113"
701,"Oak Lawn village, IL","55,022"
702,"Cathedral City, CA","55,007"
703,"Bentonville, AR","54,909"
704,"Stonecrest, GA","54,903"
705,"Kettering, OH","54,855"
706,"Colton, CA","54,824"
707,"Anderson, IN","54,765"
708,"West Haven, CT","54,620"
709,"Burlington, NC","54,606"
710,"Manhattan, KS","54,604"
711,"St. Cloud, FL","54,579"
712,"Normal town, IL","54,469"
713,"Decatur, AL","54,445"
714,"Berwyn, IL","54,391"
715,"Port Arthur, TX","54,280"
716,"Kingsport, TN","54,127"
717,"Minnetonka, MN","54,064"
718,"Rosemead, CA","54,058"
719,"Paramount, CA","53,955"
720,"Rocky Mount, NC","53,922"
721,"Yucaipa, CA","53,921"
722,"Watsonville, CA","53,856"
723,"Elyria, OH","53,757"
724,"Leesburg town, VA","53,727"
725,"Mount Prospect village, IL","53,719"
726,"Pinellas Park, FL","53,637"
727,"Delano, CA","53,573"
728,"Bellevue, NE","53,544"
729,"West Sacramento, CA","53,519"
730,"Apopka, FL","53,447"
731,"Palm Desert, CA","53,275"
732,"Milford  (balance), CT","53,195"
733,"Little Elm, TX","53,126"
734,"Revere, MA","53,073"
735,"Peabody, MA","53,070"
736,"Wylie, TX","53,067"
737,"Harrisonburg, VA","53,016"
738,"DeSoto, TX","52,988"
739,"Pensacola, FL","52,975"
740,"Olympia, WA","52,882"
741,"Edina, MN","52,857"
742,"Wheaton, IL","52,745"
743,"West New York town, NJ","52,723"
744,"Hoboken, NJ","52,677"
745,"Lacey, WA","52,592"
746,"Summerville town, SC","52,549"
747,"Coeur d'Alene, ID","52,414"
748,"Oak Park village, IL","52,381"
749,"Elkhart, IN","52,358"
750,"Maricopa, AZ","52,127"
751,"Kentwood, MI","51,898"
752,"Madison, AL","51,593"
753,"Smyrna town, TN","51,586"
754,"Glendora, CA","51,544"
755,"Logan, UT","51,542"
756,"Burien, WA","51,500"
757,"Perth Amboy, NJ","51,390"
758,"Herriman, UT","51,348"
759,"Grand Island, NE","51,267"
760,"Placentia, CA","51,233"
761,"La Crosse, WI","51,227"
762,"Battle Creek, MI","51,093"
763,"Beaumont, CA","51,063"
764,"Collierville town, TN","51,040"
765,"West Lafayette, IN","50,996"
766,"Florissant, MO","50,952"
767,"Hoffman Estates village, IL","50,932"
768,"Joplin, MO","50,925"
769,"Queen Creek town, AZ","50,890"
770,"Aliso Viejo, CA","50,887"
771,"Kannapolis, NC","50,841"
772,"Methuen Town, MA","50,706"
773,"Galveston, TX","50,446"
774,"Mishawaka, IN","50,363"
775,"Plainfield, NJ","50,317"
776,"Newark, OH","50,315"
777,"Stillwater, OK","50,299"
778,"Twin Falls, ID","50,197"
779,"Texas City, TX","50,094"
780,"Cerritos, CA","49,859"
781,"Coral Gables, FL","49,700"
782,"Enid, OK","49,688"
783,"Lakewood, OH","49,678"
784,"Troy, NY","49,154"
785,"Saginaw, MI","48,115"
786,"Niagara Falls, NY","47,720"
787,"Charleston, WV","46,536"
